State,2013,2014,2015,2016,2017,2018,2019,2020,2020 Factors
New Mexico,2069706 (nan%),2080085 (0.00501%),2084117 (0.00194%),2082669 (-0.00069%),2084828 (0.00104%),2092434 (0.00365%),2092454 (1e-05%),2097021 (0.00218%),3;699007
New York,19487053 (nan%),19594330 (0.00551%),19673174 (0.00402%),19697457 (0.00123%),19798228 (0.00512%),19618453 (-0.00908%),19572319 (-0.00235%),19514849 (-0.00294%),163;119723
North Carolina,9651380 (nan%),9750405 (0.01026%),9845333 (0.00974%),9940828 (0.0097%),10052564 (0.01124%),10155624 (0.01025%),10264876 (0.01076%),10386227 (0.01182%),10386227
North Dakota,689781 (nan%),704925 (0.02195%),721640 (0.02371%),736162 (0.02012%),745475 (0.01265%),752201 (0.00902%),756717 (0.006%),760394 (0.00486%),2;380197
Ohio,11549590 (nan%),11560380 (0.00093%),11575977 (0.00135%),11586941 (0.00095%),11609756 (0.00197%),11641879 (0.00277%),11655397 (0.00116%),11675275 (0.00171%),5;5;179;2609
Oklahoma,3785742 (nan%),3818851 (0.00875%),3849733 (0.00809%),3875589 (0.00672%),3896251 (0.00533%),3918137 (0.00562%),3932870 (0.00376%),3949342 (0.00419%),2;59;33469
Oregon,3868721 (nan%),3900343 (0.00817%),3939233 (0.00997%),3982267 (0.01092%),4025127 (0.01076%),4081943 (0.01412%),4129803 (0.01172%),4176346 (0.01127%),2;227;9199
Pennsylvania,12731381 (nan%),12758729 (0.00215%),12779559 (0.00163%),12783977 (0.00035%),12790505 (0.00051%),12791181 (5e-05%),12791530 (3e-05%),12794885 (0.00026%),5;19;134683
Puerto Rico,3682966 (nan%),3638965 (-0.01195%),3583073 (-0.01536%),3529385 (-0.01498%),3468963 (-0.01712%),3386941 (-0.02364%),3318447 (-0.02022%),3255642 (-0.01893%),2;3;3;13;13913
Rhode Island,1051695 (nan%),1053252 (0.00148%),1053661 (0.00039%),1054491 (0.00079%),1056138 (0.00156%),1056611 (0.00045%),1057231 (0.00059%),1057798 (0.00054%),2;7;75557
South Carolina,4679602 (nan%),4727273 (0.01019%),4777576 (0.01064%),4834605 (0.01194%),4893444 (0.01217%),4955925 (0.01277%),5020806 (0.01309%),5091517 (0.01408%),17;299501
South Dakota,825198 (nan%),834708 (0.01152%),843190 (0.01016%),851058 (0.00933%),855444 (0.00515%),864289 (0.01034%),870638 (0.00735%),879336 (0.00999%),2;2;2;3;3;3;3;23;59
Tennessee,6402387 (nan%),6451365 (0.00765%),6499615 (0.00748%),6548009 (0.00745%),6597381 (0.00754%),6651089 (0.00814%),6709356 (0.00876%),6772268 (0.00938%),2;2;1693067
Texas,25639373 (nan%),26092033 (0.01765%),26538614 (0.01712%),26956435 (0.01574%),27419612 (0.01718%),27885195 (0.01698%),28260856 (0.01347%),28635442 (0.01325%),2;11;103;12637
Utah,2813673 (nan%),2858111 (0.01579%),2903379 (0.01584%),2948427 (0.01552%),2993941 (0.01544%),3045350 (0.01717%),3096848 (0.01691%),3151239 (0.01756%),3;7;7;13;17;97
Vermont,625904 (nan%),626358 (0.00073%),626604 (0.00039%),626249 (-0.00057%),624636 (-0.00258%),624977 (0.00055%),624313 (-0.00106%),624340 (4e-05%),2;2;5;19;31;53
Virginia,8100653 (nan%),8185131 (0.01043%),8256630 (0.00874%),8310301 (0.0065%),8365952 (0.0067%),8413774 (0.00572%),8454463 (0.00484%),8509358 (0.00649%),2;11;13;29753
Washington,6819579 (nan%),6899123 (0.01166%),6985464 (0.01251%),7073146 (0.01255%),7169967 (0.01369%),7294336 (0.01735%),7404107 (0.01505%),7512465 (0.01463%),3;5;500831
West Virginia,1853619 (nan%),1853881 (0.00014%),1851420 (-0.00133%),1846092 (-0.00288%),1836843 (-0.00501%),1829054 (-0.00424%),1817305 (-0.00642%),1807426 (-0.00544%),2;211;4283
Wisconsin,5706871 (nan%),5724692 (0.00312%),5742117 (0.00304%),5754798 (0.00221%),5763217 (0.00146%),5778394 (0.00263%),5790716 (0.00213%),5806975 (0.00281%),5;5;109;2131
Wyoming,570134 (nan%),575251 (0.00898%),579679 (0.0077%),583029 (0.00578%),583200 (0.00029%),581836 (-0.00234%),581024 (-0.0014%),581348 (0.00056%),2;2;23;71;89
